state.code,income.bracket,average.math.score.of.bracket,average.verbal.score.of.bracket
NE,income.between.60.80k,594,584
NE,income.between.80.100k,602,597
NE,income.more.than.100k,604,606
NV,income.less.than.20k,460,447
NV,income.between.20.40k,477,472
NV,income.between.40.60k,498,493
NV,income.between.60.80k,501,499
NV,income.between.80.100k,512,508
NV,income.more.than.100k,526,520
NH,income.less.than.20k,475,471
NH,income.between.20.40k,490,489
NH,income.between.40.60k,501,503
NH,income.between.60.80k,513,510
NH,income.between.80.100k,519,518
NH,income.more.than.100k,553,544
NJ,income.less.than.20k,437,415
NJ,income.between.20.40k,466,446
NJ,income.between.40.60k,492,474
NJ,income.between.60.80k,505,488
NJ,income.between.80.100k,519,501
NJ,income.more.than.100k,551,529
NM,income.less.than.20k,523,491
NM,income.between.20.40k,517,524
NM,income.between.40.60k,526,532
NM,income.between.60.80k,532,539
NM,income.between.80.100k,550,566
NM,income.more.than.100k,576,579
NY,income.less.than.20k,444,419
NY,income.between.20.40k,472,455
NY,income.between.40.60k,492,480
NY,income.between.60.80k,506,495
NY,income.between.80.100k,521,506
NY,income.more.than.100k,551,534
NC,income.less.than.20k,449,432
NC,income.between.20.40k,476,460
NC,income.between.40.60k,500,487
NC,income.between.60.80k,516,501
NC,income.between.80.100k,531,515
NC,income.more.than.100k,558,543
ND,income.less.than.20k,493,508
ND,income.between.20.40k,570,557
ND,income.between.40.60k,608,599
ND,income.between.60.80k,619,600
ND,income.between.80.100k,597,589
ND,income.more.than.100k,576,595
OH,income.less.than.20k,465,462
OH,income.between.20.40k,496,494
OH,income.between.40.60k,522,517
OH,income.between.60.80k,540,533
OH,income.between.80.100k,548,540
OH,income.more.than.100k,572,558
OK,income.less.than.20k,516,502
OK,income.between.20.40k,547,535
OK,income.between.40.60k,548,559
OK,income.between.60.80k,555,568
OK,income.between.80.100k,575,578
OK,income.more.than.100k,583,583
OR,income.less.than.20k,476,471
OR,income.between.20.40k,498,498
OR,income.between.40.60k,512,517
OR,income.between.60.80k,523,523
OR,income.between.80.100k,536,535
OR,income.more.than.100k,557,553
PA,income.less.than.20k,434,426
PA,income.between.20.40k,466,460
PA,income.between.40.60k,489,482
PA,income.between.60.80k,502,493
PA,income.between.80.100k,515,505
PA,income.more.than.100k,546,533
RI,income.less.than.20k,422,420
RI,income.between.20.40k,466,464
RI,income.between.40.60k,483,485
RI,income.between.60.80k,498,495
RI,income.between.80.100k,517,518
RI,income.more.than.100k,542,538
SC,income.less.than.20k,433,423
SC,income.between.20.40k,464,452
SC,income.between.40.60k,489,478
SC,income.between.60.80k,499,487
SC,income.between.80.100k,517,506
SC,income.more.than.100k,543,528
SD,income.less.than.20k,549,510
SD,income.between.20.40k,547,559
SD,income.between.40.60k,609,587
SD,income.between.60.80k,609,591
SD,income.between.80.100k,583,618
SD,income.more.than.100k,589,617
TN,income.less.than.20k,503,504
TN,income.between.20.40k,524,539
TN,income.between.40.60k,533,556
TN,income.between.60.80k,567,574
TN,income.between.80.100k,562,578
TN,income.more.than.100k,588,591
TX,income.less.than.20k,446,421
TX,income.between.20.40k,472,450
TX,income.between.40.60k,496,478
TX,income.between.60.80k,510,493
TX,income.between.80.100k,528,509
TX,income.more.than.100k,556,534
UT,income.less.than.20k,530,542
UT,income.between.20.40k,502,526
UT,income.between.40.60k,542,554
UT,income.between.60.80k,556,568
UT,income.between.80.100k,562,578
UT,income.more.than.100k,575,587
VT,income.less.than.20k,467,474
VT,income.between.20.40k,491,493
VT,income.between.40.60k,512,519
VT,income.between.60.80k,528,522
VT,income.between.80.100k,532,531
VT,income.more.than.100k,559,550
VA,income.less.than.20k,439,435
VA,income.between.20.40k,463,465
VA,income.between.40.60k,488,490
VA,income.between.60.80k,501,501
VA,income.between.80.100k,519,520
VA,income.more.than.100k,551,549
WA,income.less.than.20k,473,455
WA,income.between.20.40k,497,487
WA,income.between.40.60k,513,511
WA,income.between.60.80k,526,522
WA,income.between.80.100k,537,529
WA,income.more.than.100k,561,552
WV,income.less.than.20k,450,467
WV,income.between.20.40k,489,499
WV,income.between.40.60k,489,501
WV,income.between.60.80k,506,509
WV,income.between.80.100k,509,520
WV,income.more.than.100k,535,538
WI,income.less.than.20k,543,529
WI,income.between.20.40k,562,549
WI,income.between.40.60k,581,580
WI,income.between.60.80k,595,590
WI,income.between.80.100k,611,604
WI,income.more.than.100k,615,610
WY,income.less.than.20k,542,539
WY,income.between.20.40k,494,524
WY,income.between.40.60k,536,556
WY,income.between.60.80k,584,596
WY,income.between.80.100k,523,545
WY,income.more.than.100k,575,584
AL,income.less.than.20k,444,440
AL,income.between.20.40k,474,481
AL,income.between.40.60k,509,520
AL,income.between.60.80k,531,537
AL,income.between.80.100k,545,554
AL,income.more.than.100k,576,579
AK,income.less.than.20k,441,439
AK,income.between.20.40k,478,478
AK,income.between.40.60k,499,504
AK,income.between.60.80k,510,514
AK,income.between.80.100k,515,515
AK,income.more.than.100k,531,532
AZ,income.less.than.20k,472,465
AZ,income.between.20.40k,489,485
AZ,income.between.40.60k,510,505
AZ,income.between.60.80k,521,516
AZ,income.between.80.100k,531,524
AZ,income.more.than.100k,552,541
AR,income.less.than.20k,528,487
AR,income.between.20.40k,555,537
AR,income.between.40.60k,548,555
AR,income.between.60.80k,569,574
AR,income.between.80.100k,564,566
AR,income.more.than.100k,594,590
CA,income.less.than.20k,455,435
CA,income.between.20.40k,480,463
CA,income.between.40.60k,503,488
CA,income.between.60.80k,519,508
CA,income.between.80.100k,537,524
CA,income.more.than.100k,564,549
CO,income.less.than.20k,504,507
CO,income.between.20.40k,539,534
CO,income.between.40.60k,554,559
CO,income.between.60.80k,561,559
CO,income.between.80.100k,574,568
CO,income.more.than.100k,582,576
CT,income.less.than.20k,425,428
CT,income.between.20.40k,460,459
CT,income.between.40.60k,482,482
CT,income.between.60.80k,497,497
CT,income.between.80.100k,512,511
CT,income.more.than.100k,551,541
DE,income.less.than.20k,417,409
DE,income.between.20.40k,453,449
DE,income.between.40.60k,474,473
DE,income.between.60.80k,488,485
DE,income.between.80.100k,503,500
DE,income.more.than.100k,538,536
DC,income.less.than.20k,381,388
DC,income.between.20.40k,407,414
DC,income.between.40.60k,425,436
DC,income.between.60.80k,461,490
DC,income.between.80.100k,478,498
DC,income.more.than.100k,559,572
FL,income.less.than.20k,435,434
FL,income.between.20.40k,467,468
FL,income.between.40.60k,488,489
FL,income.between.60.80k,503,502
FL,income.between.80.100k,517,514
FL,income.more.than.100k,536,530
GA,income.less.than.20k,426,423
GA,income.between.20.40k,452,451
GA,income.between.40.60k,472,475
GA,income.between.60.80k,486,487
GA,income.between.80.100k,502,502
GA,income.more.than.100k,534,529
HI,income.less.than.20k,448,430
HI,income.between.20.40k,468,445
HI,income.between.40.60k,479,466
HI,income.between.60.80k,491,468
HI,income.between.80.100k,512,486
HI,income.more.than.100k,550,518
ID,income.less.than.20k,497,523
ID,income.between.20.40k,528,528
ID,income.between.40.60k,517,529
ID,income.between.60.80k,546,546
ID,income.between.80.100k,543,548
ID,income.more.than.100k,560,558
IL,income.less.than.20k,564,532
IL,income.between.20.40k,565,545
IL,income.between.40.60k,584,571
IL,income.between.60.80k,593,587
IL,income.between.80.100k,608,595
IL,income.more.than.100k,629,610
IN,income.less.than.20k,445,441
IN,income.between.20.40k,471,467
IN,income.between.40.60k,490,483
IN,income.between.60.80k,501,493
IN,income.between.80.100k,515,502
IN,income.more.than.100k,542,529
IA,income.less.than.20k,589,508
IA,income.between.20.40k,544,545
IA,income.between.40.60k,594,576
IA,income.between.60.80k,578,570
IA,income.between.80.100k,605,612
IA,income.more.than.100k,626,617
KS,income.less.than.20k,546,516
KS,income.between.20.40k,551,541
KS,income.between.40.60k,577,570
KS,income.between.60.80k,567,572
KS,income.between.80.100k,604,599
KS,income.more.than.100k,604,592
KY,income.less.than.20k,506,514
KY,income.between.20.40k,531,532
KY,income.between.40.60k,545,558
KY,income.between.60.80k,556,569
KY,income.between.80.100k,576,586
KY,income.more.than.100k,585,585
LA,income.less.than.20k,453,456
LA,income.between.20.40k,488,497
LA,income.between.40.60k,525,534
LA,income.between.60.80k,539,553
LA,income.between.80.100k,538,542
LA,income.more.than.100k,584,582
ME,income.less.than.20k,467,461
ME,income.between.20.40k,486,496
ME,income.between.40.60k,511,515
ME,income.between.60.80k,527,533
ME,income.between.80.100k,531,522
ME,income.more.than.100k,549,536
MD,income.less.than.20k,427,425
MD,income.between.20.40k,457,454
MD,income.between.40.60k,478,476
MD,income.between.60.80k,494,491
MD,income.between.80.100k,511,508
MD,income.more.than.100k,546,540
MA,income.less.than.20k,455,432
MA,income.between.20.40k,483,468
MA,income.between.40.60k,504,492
MA,income.between.60.80k,516,504
MA,income.between.80.100k,530,516
MA,income.more.than.100k,566,551
MI,income.less.than.20k,528,483
MI,income.between.20.40k,549,535
MI,income.between.40.60k,565,552
MI,income.between.60.80k,590,576
MI,income.between.80.100k,609,589
MI,income.more.than.100k,626,603
MN,income.less.than.20k,548,515
MN,income.between.20.40k,548,541
MN,income.between.40.60k,575,570
MN,income.between.60.80k,595,585
MN,income.between.80.100k,613,604
MN,income.more.than.100k,621,607
MS,income.less.than.20k,427,445
MS,income.between.20.40k,497,520
MS,income.between.40.60k,530,555
MS,income.between.60.80k,547,576
MS,income.between.80.100k,569,580
MS,income.more.than.100k,576,595
MO,income.less.than.20k,498,490
MO,income.between.20.40k,540,534
MO,income.between.40.60k,549,548
MO,income.between.60.80k,571,580
MO,income.between.80.100k,598,596
MO,income.more.than.100k,613,615
MT,income.less.than.20k,504,513
MT,income.between.20.40k,528,527
MT,income.between.40.60k,526,529
MT,income.between.60.80k,540,535
MT,income.between.80.100k,532,530
MT,income.more.than.100k,557,555
NE,income.less.than.20k,501,492
NE,income.between.20.40k,560,561
NE,income.between.40.60k,565,559
NE,income.between.60.80k,571,556
NE,income.between.80.100k,614,606
NE,income.more.than.100k,602,606
NV,income.less.than.20k,452,446
NV,income.between.20.40k,473,473
NV,income.between.40.60k,486,482
NV,income.between.60.80k,497,499
NV,income.between.80.100k,516,508
NV,income.more.than.100k,527,521
NH,income.less.than.20k,462,452
NH,income.between.20.40k,494,494
NH,income.between.40.60k,504,507
NH,income.between.60.80k,513,512
NH,income.between.80.100k,519,519
NH,income.more.than.100k,548,539
NJ,income.less.than.20k,440,414
NJ,income.between.20.40k,470,448
NJ,income.between.40.60k,491,471
NJ,income.between.60.80k,505,488
NJ,income.between.80.100k,520,501
NJ,income.more.than.100k,551,529
NM,income.less.than.20k,480,475
NM,income.between.20.40k,509,507
NM,income.between.40.60k,508,528
NM,income.between.60.80k,533,540
NM,income.between.80.100k,541,543
NM,income.more.than.100k,570,577
NY,income.less.than.20k,444,418
NY,income.between.20.40k,473,455
NY,income.between.40.60k,491,479
NY,income.between.60.80k,506,496
NY,income.between.80.100k,520,505
NY,income.more.than.100k,550,534
NC,income.less.than.20k,446,429
NC,income.between.20.40k,474,459
NC,income.between.40.60k,494,479
NC,income.between.60.80k,511,495
NC,income.between.80.100k,527,511
NC,income.more.than.100k,553,537
ND,income.less.than.20k,0,0
ND,income.between.20.40k,540,551
ND,income.between.40.60k,547,554
ND,income.between.60.80k,597,590
ND,income.between.80.100k,628,588
ND,income.more.than.100k,572,608
OH,income.less.than.20k,469,462
OH,income.between.20.40k,493,493
OH,income.between.40.60k,520,521
OH,income.between.60.80k,536,534
OH,income.between.80.100k,549,541
OH,income.more.than.100k,567,558
OK,income.less.than.20k,511,492
OK,income.between.20.40k,535,541
OK,income.between.40.60k,534,541
OK,income.between.60.80k,559,572
OK,income.between.80.100k,564,578
OK,income.more.than.100k,575,584
OR,income.less.than.20k,472,471
OR,income.between.20.40k,493,493
OR,income.between.40.60k,507,510
OR,income.between.60.80k,519,518
OR,income.between.80.100k,536,533
OR,income.more.than.100k,556,553
PA,income.less.than.20k,434,427
PA,income.between.20.40k,466,461
PA,income.between.40.60k,487,482
PA,income.between.60.80k,501,494
PA,income.between.80.100k,516,506
PA,income.more.than.100k,545,534
PR,income.less.than.20k,394,407
PR,income.between.20.40k,418,427
PR,income.between.40.60k,435,442
PR,income.between.60.80k,463,462
PR,income.between.80.100k,471,456
PR,income.more.than.100k,498,499
RI,income.less.than.20k,423,423
RI,income.between.20.40k,463,467
RI,income.between.40.60k,482,484
RI,income.between.60.80k,496,499
RI,income.between.80.100k,509,510
RI,income.more.than.100k,536,536
SC,income.less.than.20k,428,418
SC,income.between.20.40k,456,447
SC,income.between.40.60k,479,475
SC,income.between.60.80k,497,490
SC,income.between.80.100k,507,496
SC,income.more.than.100k,530,522
SD,income.less.than.20k,458,488
SD,income.between.20.40k,539,537
SD,income.between.40.60k,585,606
SD,income.between.60.80k,571,577
SD,income.between.80.100k,593,591
SD,income.more.than.100k,591,612
TN,income.less.than.20k,493,492
TN,income.between.20.40k,519,530
TN,income.between.40.60k,542,552
TN,income.between.60.80k,552,560
TN,income.between.80.100k,568,578
TN,income.more.than.100k,582,591
TX,income.less.than.20k,446,417
TX,income.between.20.40k,472,446
TX,income.between.40.60k,494,473
TX,income.between.60.80k,508,487
TX,income.between.80.100k,523,502
TX,income.more.than.100k,549,526
UT,income.less.than.20k,523,516
UT,income.between.20.40k,534,545
UT,income.between.40.60k,550,546
UT,income.between.60.80k,554,570
UT,income.between.80.100k,572,569
UT,income.more.than.100k,571,579
VT,income.less.than.20k,479,471
VT,income.between.20.40k,496,492
VT,income.between.40.60k,504,510
VT,income.between.60.80k,515,519
VT,income.between.80.100k,533,525
VT,income.more.than.100k,553,545
VI,income.less.than.20k,348,370
VI,income.between.20.40k,354,392
VI,income.between.40.60k,392,426
VI,income.between.60.80k,408,447
VI,income.between.80.100k,398,437
VI,income.more.than.100k,487,486
VA,income.less.than.20k,440,436
VA,income.between.20.40k,461,463
VA,income.between.40.60k,485,490
VA,income.between.60.80k,498,502
VA,income.between.80.100k,510,517
VA,income.more.than.100k,546,547
WA,income.less.than.20k,470,451
WA,income.between.20.40k,493,486
WA,income.between.40.60k,516,509
WA,income.between.60.80k,525,521
WA,income.between.80.100k,539,533
WA,income.more.than.100k,559,552
WV,income.less.than.20k,457,465
WV,income.between.20.40k,472,487
WV,income.between.40.60k,484,503
WV,income.between.60.80k,503,521
WV,income.between.80.100k,510,516
WV,income.more.than.100k,523,530
WI,income.less.than.20k,559,529
WI,income.between.20.40k,558,537
WI,income.between.40.60k,569,553
WI,income.between.60.80k,597,588
WI,income.between.80.100k,610,597
WI,income.more.than.100k,614,603
WY,income.less.than.20k,545,551
WY,income.between.20.40k,526,554
WY,income.between.40.60k,547,559
WY,income.between.60.80k,587,606
WY,income.between.80.100k,553,563
WY,income.more.than.100k,546,571
AL,income.less.than.20k,429,435
AL,income.between.20.40k,462,470
AL,income.between.40.60k,502,517
AL,income.between.60.80k,513,528
AL,income.between.80.100k,529,535
AL,income.more.than.100k,568,573
AK,income.less.than.20k,456,464
AK,income.between.20.40k,471,470
AK,income.between.40.60k,493,500
AK,income.between.60.80k,510,517
AK,income.between.80.100k,510,512
AK,income.more.than.100k,530,532
AZ,income.less.than.20k,466,455
AZ,income.between.20.40k,488,481
AZ,income.between.40.60k,508,500
AZ,income.between.60.80k,513,511
AZ,income.between.80.100k,529,519
AZ,income.more.than.100k,547,535
AR,income.less.than.20k,500,494
AR,income.between.20.40k,525,516
AR,income.between.40.60k,552,552
AR,income.between.60.80k,563,574
AR,income.between.80.100k,578,569
AR,income.more.than.100k,579,569
CA,income.less.than.20k,454,433
CA,income.between.20.40k,477,459
CA,income.between.40.60k,497,482
CA,income.between.60.80k,516,503
CA,income.between.80.100k,530,517
CA,income.more.than.100k,563,546
CO,income.less.than.20k,515,518
CO,income.between.20.40k,550,549
CO,income.between.40.60k,568,558
CO,income.between.60.80k,565,562
CO,income.between.80.100k,576,573
CO,income.more.than.100k,590,580
CT,income.less.than.20k,420,412
CT,income.between.20.40k,458,455
CT,income.between.40.60k,480,483
CT,income.between.60.80k,503,502
CT,income.between.80.100k,515,506
CT,income.more.than.100k,548,539
DE,income.less.than.20k,406,399
DE,income.between.20.40k,436,428
DE,income.between.40.60k,455,455
DE,income.between.60.80k,471,460
DE,income.between.80.100k,494,486
DE,income.more.than.100k,530,518
DC,income.less.than.20k,385,386
DC,income.between.20.40k,393,407
DC,income.between.40.60k,417,425
DC,income.between.60.80k,445,457
DC,income.between.80.100k,466,487
DC,income.more.than.100k,550,563
FL,income.less.than.20k,430,431
FL,income.between.20.40k,464,468
FL,income.between.40.60k,484,488
FL,income.between.60.80k,499,500
FL,income.between.80.100k,509,507
FL,income.more.than.100k,533,527
GA,income.less.than.20k,426,423
GA,income.between.20.40k,451,452
GA,income.between.40.60k,470,473
GA,income.between.60.80k,485,486
GA,income.between.80.100k,494,495
GA,income.more.than.100k,529,524
HI,income.less.than.20k,452,436
HI,income.between.20.40k,471,451
HI,income.between.40.60k,484,467
HI,income.between.60.80k,481,462
HI,income.between.80.100k,507,483
HI,income.more.than.100k,543,515
ID,income.less.than.20k,508,519
ID,income.between.20.40k,511,520
ID,income.between.40.60k,527,539
ID,income.between.60.80k,532,536
ID,income.between.80.100k,540,558
ID,income.more.than.100k,562,562
IL,income.less.than.20k,534,510
IL,income.between.20.40k,559,548
IL,income.between.40.60k,567,560
IL,income.between.60.80k,590,578
IL,income.between.80.100k,607,585
IL,income.more.than.100k,624,604
IN,income.less.than.20k,441,437
IN,income.between.20.40k,465,465
IN,income.between.40.60k,488,482
IN,income.between.60.80k,500,492
IN,income.between.80.100k,512,500
IN,income.more.than.100k,540,524
IA,income.less.than.20k,555,530
IA,income.between.20.40k,545,553
IA,income.between.40.60k,566,580
IA,income.between.60.80k,607,604
IA,income.between.80.100k,601,598
IA,income.more.than.100k,604,598
KS,income.less.than.20k,534,518
KS,income.between.20.40k,529,520
KS,income.between.40.60k,573,573
KS,income.between.60.80k,583,575
KS,income.between.80.100k,605,593
KS,income.more.than.100k,605,597
KY,income.less.than.20k,543,532
KY,income.between.20.40k,542,549
KY,income.between.40.60k,550,564
KY,income.between.60.80k,559,568
KY,income.between.80.100k,560,574
KY,income.more.than.100k,587,588
LA,income.less.than.20k,441,447
LA,income.between.20.40k,461,466
LA,income.between.40.60k,498,512
LA,income.between.60.80k,526,536
LA,income.between.80.100k,530,544
LA,income.more.than.100k,571,578
ME,income.less.than.20k,476,470
ME,income.between.20.40k,520,511
ME,income.between.40.60k,526,514
ME,income.between.60.80k,533,531
ME,income.between.80.100k,542,532
ME,income.more.than.100k,553,537
MD,income.less.than.20k,417,415
MD,income.between.20.40k,454,449
MD,income.between.40.60k,469,467
MD,income.between.60.80k,488,484
MD,income.between.80.100k,503,497
MD,income.more.than.100k,545,536
MA,income.less.than.20k,454,431
MA,income.between.20.40k,487,469
MA,income.between.40.60k,505,490
MA,income.between.60.80k,518,508
MA,income.between.80.100k,530,514
MA,income.more.than.100k,569,551
MI,income.less.than.20k,519,493
MI,income.between.20.40k,550,520
MI,income.between.40.60k,561,557
MI,income.between.60.80k,586,571
MI,income.between.80.100k,604,586
MI,income.more.than.100k,615,594
MN,income.less.than.20k,561,512
MN,income.between.20.40k,568,535
MN,income.between.40.60k,567,557
MN,income.between.60.80k,589,583
MN,income.between.80.100k,604,595
MN,income.more.than.100k,623,609
MS,income.less.than.20k,441,458
MS,income.between.20.40k,496,527
MS,income.between.40.60k,498,525
MS,income.between.60.80k,549,569
MS,income.between.80.100k,534,550
MS,income.more.than.100k,584,594
MO,income.less.than.20k,504,489
MO,income.between.20.40k,546,548
MO,income.between.40.60k,568,568
MO,income.between.60.80k,554,560
MO,income.between.80.100k,591,586
MO,income.more.than.100k,598,597
MT,income.less.than.20k,487,487
MT,income.between.20.40k,506,512
MT,income.between.40.60k,523,528
MT,income.between.60.80k,537,540
MT,income.between.80.100k,546,534
MT,income.more.than.100k,558,547
NE,income.less.than.20k,526,493
NE,income.between.20.40k,526,521
NE,income.between.40.60k,562,561
NE,income.between.60.80k,606,590
NE,income.between.80.100k,597,569
NE,income.more.than.100k,594,603
NV,income.less.than.20k,441,441
NV,income.between.20.40k,464,463
NV,income.between.40.60k,486,486
NV,income.between.60.80k,488,492
NV,income.between.80.100k,506,500
NV,income.more.than.100k,519,514
NH,income.less.than.20k,455,456
NH,income.between.20.40k,484,492
NH,income.between.40.60k,502,505
NH,income.between.60.80k,509,506
NH,income.between.80.100k,518,512
NH,income.more.than.100k,550,540
NJ,income.less.than.20k,435,410
NJ,income.between.20.40k,470,446
NJ,income.between.40.60k,492,472
NJ,income.between.60.80k,509,491
NJ,income.between.80.100k,526,505
NJ,income.more.than.100k,557,533
NM,income.less.than.20k,517,506
NM,income.between.20.40k,502,520
NM,income.between.40.60k,517,529
NM,income.between.60.80k,515,530
NM,income.between.80.100k,538,548
NM,income.more.than.100k,572,574
NY,income.less.than.20k,444,418
NY,income.between.20.40k,475,457
NY,income.between.40.60k,493,481
NY,income.between.60.80k,508,495
NY,income.between.80.100k,521,506
NY,income.more.than.100k,554,536
NC,income.less.than.20k,441,426
NC,income.between.20.40k,472,457
NC,income.between.40.60k,496,482
NC,income.between.60.80k,508,491
NC,income.between.80.100k,526,508
NC,income.more.than.100k,557,538
ND,income.less.than.20k,0,0
ND,income.between.20.40k,528,585
ND,income.between.40.60k,545,578
ND,income.between.60.80k,589,634
ND,income.between.80.100k,527,539
ND,income.more.than.100k,471,472
OH,income.less.than.20k,476,469
OH,income.between.20.40k,496,493
OH,income.between.40.60k,524,521
OH,income.between.60.80k,537,533
OH,income.between.80.100k,554,541
OH,income.more.than.100k,573,560
OK,income.less.than.20k,486,486
OK,income.between.20.40k,506,508
OK,income.between.40.60k,540,554
OK,income.between.60.80k,564,571
OK,income.between.80.100k,558,566
OK,income.more.than.100k,571,578
OR,income.less.than.20k,474,474
OR,income.between.20.40k,489,487
OR,income.between.40.60k,509,509
OR,income.between.60.80k,520,520
OR,income.between.80.100k,528,525
OR,income.more.than.100k,550,547
PA,income.less.than.20k,435,427
PA,income.between.20.40k,465,460
PA,income.between.40.60k,487,479
PA,income.between.60.80k,499,490
PA,income.between.80.100k,514,502
PA,income.more.than.100k,545,531
PR,income.less.than.20k,386,393
PR,income.between.20.40k,416,416
PR,income.between.40.60k,439,441
PR,income.between.60.80k,453,465
PR,income.between.80.100k,466,464
PR,income.more.than.100k,495,497
RI,income.less.than.20k,416,418
RI,income.between.20.40k,450,449
RI,income.between.40.60k,479,478
RI,income.between.60.80k,491,494
RI,income.between.80.100k,502,500
RI,income.more.than.100k,532,527
SC,income.less.than.20k,425,413
SC,income.between.20.40k,454,450
SC,income.between.40.60k,475,471
SC,income.between.60.80k,492,482
SC,income.between.80.100k,508,498
SC,income.more.than.100k,528,516
SD,income.less.than.20k,480,493
SD,income.between.20.40k,522,517
SD,income.between.40.60k,629,604
SD,income.between.60.80k,555,592
SD,income.between.80.100k,607,607
SD,income.more.than.100k,480,489
TN,income.less.than.20k,493,498
TN,income.between.20.40k,521,536
TN,income.between.40.60k,534,547
TN,income.between.60.80k,551,560
TN,income.between.80.100k,553,568
TN,income.more.than.100k,586,589
TX,income.less.than.20k,443,416
TX,income.between.20.40k,472,446
TX,income.between.40.60k,492,472
TX,income.between.60.80k,504,485
TX,income.between.80.100k,520,499
TX,income.more.than.100k,546,524
UT,income.less.than.20k,516,490
UT,income.between.20.40k,537,556
UT,income.between.40.60k,547,550
UT,income.between.60.80k,571,559
UT,income.between.80.100k,585,583
UT,income.more.than.100k,576,578
VT,income.less.than.20k,465,470
VT,income.between.20.40k,502,505
VT,income.between.40.60k,507,513
VT,income.between.60.80k,520,514
VT,income.between.80.100k,531,527
VT,income.more.than.100k,557,548
VI,income.less.than.20k,346,361
VI,income.between.20.40k,377,387
VI,income.between.40.60k,381,414
VI,income.between.60.80k,436,444
VI,income.between.80.100k,435,455
VI,income.more.than.100k,482,469
VA,income.less.than.20k,438,437
VA,income.between.20.40k,464,463
VA,income.between.40.60k,483,483
VA,income.between.60.80k,496,499
VA,income.between.80.100k,513,513
VA,income.more.than.100k,545,541
WA,income.less.than.20k,465,452
WA,income.between.20.40k,492,482
WA,income.between.40.60k,512,504
WA,income.between.60.80k,520,515
WA,income.between.80.100k,539,529
WA,income.more.than.100k,558,546
WV,income.less.than.20k,459,474
WV,income.between.20.40k,479,497
WV,income.between.40.60k,472,497
WV,income.between.60.80k,488,508
WV,income.between.80.100k,502,502
WV,income.more.than.100k,524,536
WI,income.less.than.20k,567,525
WI,income.between.20.40k,554,542
WI,income.between.40.60k,582,561
WI,income.between.60.80k,580,574
WI,income.between.80.100k,599,593
WI,income.more.than.100k,618,603
WY,income.less.than.20k,532,515
WY,income.between.20.40k,577,596
WY,income.between.40.60k,579,575
WY,income.between.60.80k,542,559
WY,income.between.80.100k,611,625
WY,income.more.than.100k,550,568
AL,income.less.than.20k,425,435
AL,income.between.20.40k,475,486
AL,income.between.40.60k,494,510
AL,income.between.60.80k,520,525
AL,income.between.80.100k,536,551
AL,income.more.than.100k,566,579
AK,income.less.than.20k,453,446
AK,income.between.20.40k,478,480
AK,income.between.40.60k,494,499
AK,income.between.60.80k,498,509
AK,income.between.80.100k,514,525
AK,income.more.than.100k,524,521
AZ,income.less.than.20k,472,465
AZ,income.between.20.40k,492,488
AZ,income.between.40.60k,506,505
AZ,income.between.60.80k,517,513
AZ,income.between.80.100k,527,521
AZ,income.more.than.100k,549,538
AR,income.less.than.20k,509,491
AR,income.between.20.40k,532,543
AR,income.between.40.60k,537,549
AR,income.between.60.80k,564,577
AR,income.between.80.100k,566,570
AR,income.more.than.100k,581,586
CA,income.less.than.20k,452,435
CA,income.between.20.40k,476,461
CA,income.between.40.60k,496,485
CA,income.between.60.80k,512,503
CA,income.between.80.100k,529,516
CA,income.more.than.100k,556,543
CO,income.less.than.20k,542,528
CO,income.between.20.40k,532,532
CO,income.between.40.60k,551,558
CO,income.between.60.80k,558,564
CO,income.between.80.100k,575,574
CO,income.more.than.100k,587,583
CT,income.less.than.20k,420,423
CT,income.between.20.40k,455,458
CT,income.between.40.60k,483,483
CT,income.between.60.80k,495,493
CT,income.between.80.100k,509,507
CT,income.more.than.100k,547,540
DE,income.less.than.20k,391,387
DE,income.between.20.40k,435,431
DE,income.between.40.60k,460,452
DE,income.between.60.80k,477,474
DE,income.between.80.100k,483,479
DE,income.more.than.100k,527,518
DC,income.less.than.20k,381,380
DC,income.between.20.40k,405,417
DC,income.between.40.60k,418,428
DC,income.between.60.80k,445,454
DC,income.between.80.100k,482,499
DC,income.more.than.100k,560,573
FL,income.less.than.20k,431,438
FL,income.between.20.40k,466,472
FL,income.between.40.60k,486,493
FL,income.between.60.80k,497,503
FL,income.between.80.100k,508,511
FL,income.more.than.100k,531,528
GA,income.less.than.20k,426,428
GA,income.between.20.40k,451,456
GA,income.between.40.60k,470,479
GA,income.between.60.80k,484,491
GA,income.between.80.100k,496,501
GA,income.more.than.100k,530,528
HI,income.less.than.20k,440,425
HI,income.between.20.40k,470,448
HI,income.between.40.60k,483,465
HI,income.between.60.80k,487,468
HI,income.between.80.100k,510,486
HI,income.more.than.100k,537,511
ID,income.less.than.20k,407,407
ID,income.between.20.40k,450,449
ID,income.between.40.60k,474,465
ID,income.between.60.80k,489,481
ID,income.between.80.100k,492,483
ID,income.more.than.100k,506,497
IL,income.less.than.20k,534,511
IL,income.between.20.40k,551,539
IL,income.between.40.60k,579,562
IL,income.between.60.80k,585,575
IL,income.between.80.100k,607,596
IL,income.more.than.100k,623,607
IN,income.less.than.20k,442,441
IN,income.between.20.40k,467,468
IN,income.between.40.60k,488,487
IN,income.between.60.80k,503,497
IN,income.between.80.100k,515,505
IN,income.more.than.100k,538,525
IA,income.less.than.20k,568,514
IA,income.between.20.40k,537,544
IA,income.between.40.60k,556,566
